category,file,footprint_token,access_hint,placement_hint,description,components
02_Shopfronts_Rowhouses,GalakasMidCity_BT_CobblerAndLoft_W05D16_CSG.tscn,W05D16,main/front entry or generic frontage,"ordinary streets, mixed-use rows, filler blocks",Cobbler shop with living/storage loft. Good for modest commercial streets and rows of practical trades.,GalakasMidCity_FOUNDATION_W05D16_Stone_CSG; GalakasMidCity_LOWERMODULE_W05D16_PlasterShop_CSG; GalakasMidCity_UPPERMODULE_W05D16_HalfTimberOverhang_CSG; GalakasMidCity_ROOF_W05D16_SteepGable_CSG
05_Civic_Guild_Offices,GalakasMidCity_BT_CountingHouse_Wide_W08D12_CSG.tscn,W08D12,main/front entry or generic frontage,"guild quarters, administrative streets, tax/records zones","Wide money/accounting office. Use near guilds, tax buildings, gold/merchant routes, or administrative plazas.",GalakasMidCity_FOUNDATION_W08D12_Stone_CSG; GalakasMidCity_LOWERMODULE_W08D12_StoneBase_CSG; GalakasMidCity_UPPERMODULE_W08D12_StoneUpper_CSG; GalakasMidCity_UPPERMODULE_W08D12_GalleryOverhang_CSG; GalakasMidCity_ROOF_W08D12_HippedTile_CSG
08_Courtyard_Wealthy_Blocks,GalakasMidCity_BT_CourtyardGate_House_W08D12_CSG.tscn,W08D12,connector/passage-oriented,"cleaner inner MidCity, wealthy merchant streets, courtyard blocks",House front that implies a gated courtyard beyond. Useful for semi-private merchant homes and more controlled access layouts.,GalakasMidCity_FOUNDATION_W08D12_Stone_CSG; GalakasMidCity_LOWERMODULE_W08D12_StoneBase_CSG; GalakasMidCity_UPPERMODULE_W08D12_GalleryOverhang_CSG; GalakasMidCity_ROOF_W08D12_WalkableParapet_CSG
08_Courtyard_Wealthy_Blocks,GalakasMidCity_BT_CourtyardSideEntry_Block_W10D24_CSG.tscn,W10D24,side/alley-oriented entry,"cleaner inner MidCity, wealthy merchant streets, courtyard blocks","Longer courtyard block with side-entry logic. Good for merchant compounds, denser blocks, and streets where side access matters.",GalakasMidCity_FOUNDATION_W10D24_SidePassageSteps_CSG; GalakasMidCity_LOWERMODULE_W10D24_SidePassage_DoubleDoors_CSG; GalakasMidCity_UPPERMODULE_W10D24_PlasterUpper_CSG; GalakasMidCity_ROOF_W10D24_WalkableParapet_CSG
11_Bridges_Overpasses_StreetConnectors,GalakasMidCity_BT_CoveredAlley_Row_W10D24_CSG.tscn,W10D24,connector/passage-oriented,"special connectors, covered streets, bridge-house sequences","Row mass designed to shape a covered alley condition. Use to create compression, shadow, and late-medieval street layering.",GalakasMidCity_FOUNDATION_W10D24_Stone_CSG; GalakasMidCity_LOWERMODULE_W10D24_MarketArcade_CSG; GalakasMidCity_UPPERMODULE_W10D24_GalleryOverhang_CSG; GalakasMidCity_ROOF_W10D24_WalkableParapet_CSG
03_Markets_Commercial_Rows,GalakasMidCity_BT_CoveredMarket_Hall_W08D20_CSG.tscn,W08D20,main/front entry or generic frontage,"main market streets, plazas, commercial spines",Covered market hall. Good as a medium commercial anchor with interior-market implications.,GalakasMidCity_FOUNDATION_W08D20_Stone_CSG; GalakasMidCity_LOWERMODULE_W08D20_MarketArcade_CSG; GalakasMidCity_UPPERMODULE_W08D20_GalleryOverhang_CSG; GalakasMidCity_ROOF_W08D20_WalkableParapet_CSG
08_Courtyard_Wealthy_Blocks,GalakasMidCity_BT_DeepMerchantHouse_W06D16_CSG.tscn,W06D16,main/front entry or generic frontage,"cleaner inner MidCity, wealthy merchant streets, courtyard blocks",Deep merchant house. Use for well-off traders who need both residence and storage without becoming noble-scale.,GalakasMidCity_FOUNDATION_W06D16_Stone_CSG; GalakasMidCity_LOWERMODULE_W06D16_TimberShop_CSG; GalakasMidCity_UPPERMODULE_W06D16_GalleryOverhang_CSG; GalakasMidCity_UPPERMODULE_W06D16_HalfTimberOverhang_CSG; GalakasMidCity_ROOF_W06D16_HippedTile_CSG
10_Rooftop_Route_Blocks,GalakasMidCity_BT_DenseRoofChase_Block_W08D28_CSG.tscn,W08D28,main/front entry or generic frontage,roofline corridors and traversal-adjacent masses,Long dense block intended to create rooftops with frequent elevation changes. Good for chase-route corridors before overlaying traversal helpers.,GalakasMidCity_FOUNDATION_W08D28_Stone_CSG; GalakasMidCity_LOWERMODULE_W08D28_PlasterShop_CSG; GalakasMidCity_UPPERMODULE_W08D28_HalfTimberOverhang_CSG; GalakasMidCity_UPPERMODULE_W08D28_HalfTimberOverhang_CSG; GalakasMidCity_UPPERMODULE_W08D28_GalleryOverhang_CSG; GalakasMidCity_ROOF_W08D28_WalkableParapet_CSG
06_Workshops_Production,GalakasMidCity_BT_DyersHall_LongWorkshop_W09D24_CSG.tscn,W09D24,main/front entry or generic frontage,"craft streets, service alleys, production yards","Long dyeing workshop/hall. Use in production streets, especially near cloth markets but slightly away from prestige areas.",GalakasMidCity_FOUNDATION_W09D24_Stone_CSG; GalakasMidCity_LOWERMODULE_W09D24_WarehouseStone_CSG; GalakasMidCity_UPPERMODULE_W09D24_PlasterUpper_CSG; GalakasMidCity_UPPERMODULE_W09D24_GalleryOverhang_CSG; GalakasMidCity_ROOF_W09D24_LongGable_CSG
10_Rooftop_Route_Blocks,GalakasMidCity_BT_FortifiedMerchantRoof_W12D20_CSG.tscn,W12D20,main/front entry or generic frontage,roofline corridors and traversal-adjacent masses,Merchant block with a stronger/defensive roof silhouette. Useful near richer streets where merchants protect goods and roof access.,GalakasMidCity_FOUNDATION_W12D20_Stone_CSG; GalakasMidCity_LOWERMODULE_W12D20_StoneBase_CSG; GalakasMidCity_UPPERMODULE_W12D20_StoneUpper_CSG; GalakasMidCity_UPPERMODULE_W12D20_GalleryOverhang_CSG; GalakasMidCity_ROOF_W12D20_WalkableParapet_CSG
11_Bridges_Overpasses_StreetConnectors,GalakasMidCity_BT_GateStreet_OverpassLike_W10D16_CSG.tscn,W10D16,connector/passage-oriented,"special connectors, covered streets, bridge-house sequences",Gate-street overpass-like building. Use where a street narrows under a mass or where buildings visually pinch the route.,GalakasMidCity_FOUNDATION_W10D16_Stone_CSG; GalakasMidCity_LOWERMODULE_W10D16_MarketArcade_CSG; GalakasMidCity_UPPERMODULE_W10D16_GalleryOverhang_CSG; GalakasMidCity_ROOF_W10D16_WalkableParapet_CSG
02_Shopfronts_Rowhouses,GalakasMidCity_BT_Goldsmith_NarrowTall_W04D12_CSG.tscn,W04D12,main/front entry or generic frontage,"ordinary streets, mixed-use rows, filler blocks","Narrow tall goldsmith shop. Good for rich but tight streets, secure commercial lanes, or near counting houses.",GalakasMidCity_FOUNDATION_W04D12_Stone_CSG; GalakasMidCity_LOWERMODULE_W04D12_StoneBase_CSG; GalakasMidCity_UPPERMODULE_W04D12_StoneUpper_CSG; GalakasMidCity_UPPERMODULE_W04D12_GalleryOverhang_CSG; GalakasMidCity_UPPERMODULE_W04D12_HalfTimberOverhang_CSG; GalakasMidCity_ROOF_W04D12_SteepGable_CSG
07_Storage_Warehouse_Service,GalakasMidCity_BT_GranaryRow_Long_W10D24_CSG.tscn,W10D24,main/front entry or generic frontage,"back-of-market lanes, supply yards, service blocks","Long granary/storage row. Use behind market streets, near service yards, or in supply-side districts.",GalakasMidCity_FOUNDATION_W10D24_Stone_CSG; GalakasMidCity_LOWERMODULE_W10D24_WarehouseStone_CSG; GalakasMidCity_UPPERMODULE_W10D24_StoneUpper_CSG; GalakasMidCity_UPPERMODULE_W10D24_StoneUpper_CSG; GalakasMidCity_ROOF_W10D24_LongGable_CSG
03_Markets_Commercial_Rows,GalakasMidCity_BT_GreatMarketSpine_W12D30_CSG.tscn,W12D30,main/front entry or generic frontage,"main market streets, plazas, commercial spines",Major market-spine block. Best as a primary landmark/commercial backbone for a long MidCity street.,GalakasMidCity_FOUNDATION_W12D30_Stone_CSG; GalakasMidCity_LOWERMODULE_W12D30_MarketArcade_CSG; GalakasMidCity_UPPERMODULE_W12D30_GalleryOverhang_CSG; GalakasMidCity_UPPERMODULE_W12D30_GalleryOverhang_CSG; GalakasMidCity_ROOF_W12D30_LongGable_CSG
05_Civic_Guild_Offices,GalakasMidCity_BT_GuildClerk_LongOffice_W10D30_CSG.tscn,W10D30,main/front entry or generic frontage,"guild quarters, administrative streets, tax/records zones","Long bureaucratic office row. Use for guild paperwork, contract clerks, records, and official commercial administration.",GalakasMidCity_FOUNDATION_W10D30_Stone_CSG; GalakasMidCity_LOWERMODULE_W10D30_StoneBase_CSG; GalakasMidCity_UPPERMODULE_W10D30_GalleryOverhang_CSG; GalakasMidCity_UPPERMODULE_W10D30_StoneUpper_CSG; GalakasMidCity_ROOF_W10D30_HippedTile_CSG
05_Civic_Guild_Offices,GalakasMidCity_BT_GuildScribe_Block_W06D12_CSG.tscn,W06D12,main/front entry or generic frontage,"guild quarters, administrative streets, tax/records zones","Compact scribe/guild-record block. Good near guild offices, minor plazas, or streets with literacy/administration functions.",GalakasMidCity_FOUNDATION_W06D12_Stone_CSG; GalakasMidCity_LOWERMODULE_W06D12_TimberShop_CSG; GalakasMidCity_UPPERMODULE_W06D12_HalfTimberOverhang_CSG; GalakasMidCity_UPPERMODULE_W06D12_GalleryOverhang_CSG; GalakasMidCity_ROOF_W06D12_CrossGable_CSG
04_Inns_Taverns_Lodging,GalakasMidCity_BT_InnAndStable_Deep_W08D16_CSG.tscn,W08D16,main/front entry or generic frontage,"gate roads, tavern clusters, market edges, contract hubs","Deep inn/stable building. Use near caravan routes, market edges, or main roads entering MidCity.",GalakasMidCity_FOUNDATION_W08D16_Stone_CSG; GalakasMidCity_LOWERMODULE_W08D16_InnFront_CSG; GalakasMidCity_UPPERMODULE_W08D16_InnUpper_CSG; GalakasMidCity_UPPERMODULE_W08D16_HalfTimberOverhang_CSG; GalakasMidCity_ROOF_W08D16_InnGable_CSG
02_Shopfronts_Rowhouses,GalakasMidCity_BT_IrregularTallRow_Blockout_W06D20_CSG.tscn,W06D20,main/front entry or generic frontage,"ordinary streets, mixed-use rows, filler blocks",Irregular tall rowhouse mass. Use to avoid overly clean repetition and create the lived-in medieval skyline.,GalakasMidCity_FOUNDATION_W06D20_Stone_CSG; GalakasMidCity_LOWERMODULE_W06D20_TimberShop_CSG; GalakasMidCity_UPPERMODULE_W06D20_HalfTimberOverhang_CSG; GalakasMidCity_UPPERMODULE_W06D20_GalleryOverhang_CSG; GalakasMidCity_UPPERMODULE_W06D20_PlasterUpper_CSG; GalakasMidCity_ROOF_W06D20_CrossGable_CSG
03_Markets_Commercial_Rows,GalakasMidCity_BT_LongArcadeReceiver_W18D10_CSG.tscn,W18D10,main/front entry or generic frontage,"main market streets, plazas, commercial spines","Long arcade receiver/end segment. Use as a terminus or connector for an arcade street, market frontage, or roofline run.",GalakasMidCity_FOUNDATION_W18D10_Stone_CSG; GalakasMidCity_LOWERMODULE_W18D10_MarketArcade_CSG; GalakasMidCity_UPPERMODULE_W18D10_GalleryOverhang_CSG; GalakasMidCity_UPPERMODULE_W18D10_HalfTimberOverhang_CSG; GalakasMidCity_ROOF_W18D10_LongGable_CSG
11_Bridges_Overpasses_StreetConnectors,GalakasMidCity_BT_LongButtressedHall_W14D22_CSG.tscn,W14D22,main/front entry or generic frontage,"special connectors, covered streets, bridge-house sequences",Large buttressed hall. Use as an old civic/market/guild hall where the architecture should feel heavier and older.,GalakasMidCity_FOUNDATION_W14D22_Stone_CSG; GalakasMidCity_LOWERMODULE_W14D22_StoneBase_CSG; GalakasMidCity_UPPERMODULE_W14D22_StoneUpper_CSG; GalakasMidCity_ROOF_W14D22_LongGable_CSG
02_Shopfronts_Rowhouses,GalakasMidCity_BT_LongDormerHouse_W07D18_CSG.tscn,W07D18,main/front entry or generic frontage,"ordinary streets, mixed-use rows, filler blocks",Long house with dormer-oriented silhouette. Useful for varied rooflines on dense residential/commercial streets.,GalakasMidCity_FOUNDATION_W07D18_Stone_CSG; GalakasMidCity_LOWERMODULE_W07D18_TimberShop_CSG; GalakasMidCity_UPPERMODULE_W07D18_HalfTimberOverhang_CSG; GalakasMidCity_UPPERMODULE_W07D18_PlasterUpper_CSG; GalakasMidCity_ROOF_W07D18_LongGable_CSG
06_Workshops_Production,GalakasMidCity_BT_LongSideDoor_PrinterCourt_W09D24_CSG.tscn,W09D24,side/alley-oriented entry,"craft streets, service alleys, production yards","Printer/court workshop with long-side entry. Good for side courtyards, lanes, and places where the front should not face the main street.",GalakasMidCity_FOUNDATION_W09D24_SideShopLeftStep_CSG; GalakasMidCity_LOWERMODULE_W09D24_SideShop_LeftDoor_CSG; GalakasMidCity_UPPERMODULE_W09D24_GalleryOverhang_CSG; GalakasMidCity_ROOF_W09D24_HippedTile_CSG
06_Workshops_Production,GalakasMidCity_BT_LongSideDoor_Ropewalk_W12D30_CSG.tscn,W12D30,side/alley-oriented entry,"craft streets, service alleys, production yards",Very long ropewalk/production building with long-side access. Use for narrow industrial strips and elongated craft yards.,GalakasMidCity_FOUNDATION_W12D30_SidePassageSteps_CSG; GalakasMidCity_LOWERMODULE_W12D30_SidePassage_DoubleDoors_CSG; GalakasMidCity_UPPERMODULE_W12D30_GalleryOverhang_CSG; GalakasMidCity_ROOF_W12D30_LongGable_CSG
09_Backstreet_Alley_SideDoors,GalakasMidCity_BT_LongSideShop_Row_LeftEntry_W06D20_CSG.tscn,W06D20,long-side left entry,"alleys, side streets, courtyard edges, back lanes",Long shop row with left-side entry. Use to make alleys/courtyard edges feel navigable without repeating short-front doors.,GalakasMidCity_FOUNDATION_W06D20_SideShopLeftStep_CSG; GalakasMidCity_LOWERMODULE_W06D20_SideShop_LeftDoor_CSG; GalakasMidCity_UPPERMODULE_W06D20_HalfTimberOverhang_CSG; GalakasMidCity_ROOF_W06D20_LongGable_CSG
09_Backstreet_Alley_SideDoors,GalakasMidCity_BT_LongSideShop_Row_RightEntry_W06D20_CSG.tscn,W06D20,long-side right entry,"alleys, side streets, courtyard edges, back lanes",Long shop row with right-side entry. Pair with left-entry variants to alternate door placement along long street blocks.,GalakasMidCity_FOUNDATION_W06D20_SideShopRightStep_CSG; GalakasMidCity_LOWERMODULE_W06D20_SideShop_RightDoor_CSG; GalakasMidCity_UPPERMODULE_W06D20_GalleryOverhang_CSG; GalakasMidCity_ROOF_W06D20_LongGable_CSG
10_Rooftop_Route_Blocks,GalakasMidCity_BT_LongUpperGallery_Run_W08D28_CSG.tscn,W08D28,main/front entry or generic frontage,roofline corridors and traversal-adjacent masses,Long upper-gallery mass. Good for creating balcony-like upper volumes and roof-adjacent routes without baked traversal props.,GalakasMidCity_FOUNDATION_W08D28_Stone_CSG; GalakasMidCity_LOWERMODULE_W08D28_InnFront_CSG; GalakasMidCity_UPPERMODULE_W08D28_InnUpper_CSG; GalakasMidCity_UPPERMODULE_W08D28_GalleryOverhang_CSG; GalakasMidCity_ROOF_W08D28_LongGable_CSG
11_Bridges_Overpasses_StreetConnectors,GalakasMidCity_BT_MarketBridge_EndCap_W08D12_CSG.tscn,W08D12,connector/passage-oriented,"special connectors, covered streets, bridge-house sequences","End-cap for a bridge/market transition. Use at the end of covered streets, raised connections, or bridge-house sequences.",GalakasMidCity_FOUNDATION_W08D12_Stone_CSG; GalakasMidCity_LOWERMODULE_W08D12_MarketArcade_CSG; GalakasMidCity_UPPERMODULE_W08D12_GalleryOverhang_CSG; GalakasMidCity_UPPERMODULE_W08D12_HalfTimberOverhang_CSG; GalakasMidCity_ROOF_W08D12_CrossGable_CSG
03_Markets_Commercial_Rows,GalakasMidCity_BT_MercerCorner_Tall_W10D16_CSG.tscn,W10D16,main/front entry or generic frontage,"main market streets, plazas, commercial spines",Tall corner mercer/textile merchant building. Good for visually anchoring intersections and commercial corners.,GalakasMidCity_FOUNDATION_W10D16_Stone_CSG; GalakasMidCity_LOWERMODULE_W10D16_TimberShop_CSG; GalakasMidCity_UPPERMODULE_W10D16_HalfTimberOverhang_CSG; GalakasMidCity_UPPERMODULE_W10D16_GalleryOverhang_CSG; GalakasMidCity_UPPERMODULE_W10D16_HalfTimberOverhang_CSG; GalakasMidCity_ROOF_W10D16_CrossGable_CSG
07_Storage_Warehouse_Service,GalakasMidCity_BT_MerchantBacklane_Longhouse_W12D30_CSG.tscn,W12D30,main/front entry or generic frontage,"back-of-market lanes, supply yards, service blocks",Long merchant backlane building. Use behind the showier market frontage for storage/residence/service logic.,GalakasMidCity_FOUNDATION_W12D30_BacklaneLeftStep_CSG; GalakasMidCity_LOWERMODULE_W12D30_Backlane_LeftSingleDoor_CSG; GalakasMidCity_UPPERMODULE_W12D30_StoneUpper_CSG; GalakasMidCity_UPPERMODULE_W12D30_HalfTimberOverhang_CSG; GalakasMidCity_ROOF_W12D30_LongGable_CSG
08_Courtyard_Wealthy_Blocks,GalakasMidCity_BT_MerchantFamily_Longhouse_W12D24_CSG.tscn,W12D24,main/front entry or generic frontage,"cleaner inner MidCity, wealthy merchant streets, courtyard blocks",Large merchant-family longhouse. Good for affluent but still commercially tied households.,GalakasMidCity_FOUNDATION_W12D24_Stone_CSG; GalakasMidCity_LOWERMODULE_W12D24_TimberShop_CSG; GalakasMidCity_UPPERMODULE_W12D24_HalfTimberOverhang_CSG; GalakasMidCity_UPPERMODULE_W12D24_GalleryOverhang_CSG; GalakasMidCity_ROOF_W12D24_LongGable_CSG
10_Rooftop_Route_Blocks,GalakasMidCity_BT_MerchantSpine_VeryLong_W06D28_CSG.tscn,W06D28,main/front entry or generic frontage,roofline corridors and traversal-adjacent masses,Very long narrow merchant spine. Use as a roofline corridor and dense street-wall segment.,GalakasMidCity_FOUNDATION_W06D28_Stone_CSG; GalakasMidCity_LOWERMODULE_W06D28_TimberShop_CSG; GalakasMidCity_UPPERMODULE_W06D28_HalfTimberOverhang_CSG; GalakasMidCity_UPPERMODULE_W06D28_HalfTimberOverhang_CSG; GalakasMidCity_UPPERMODULE_W06D28_GalleryOverhang_CSG; GalakasMidCity_ROOF_W06D28_LongGable_CSG
01_Perimeter_Wall_Edge,GalakasMidCity_BT_NarrowWallRow_Long_W04D12_CSG.tscn,W04D12,main/front entry or generic frontage,"near walls, cramped edge lots, wall-shadow streets",Long narrow row for wall-adjacent housing/commercial strips. Good near the giant walls where lots should feel compressed.,GalakasMidCity_FOUNDATION_W04D12_Stone_CSG; GalakasMidCity_LOWERMODULE_W04D12_PlasterShop_CSG; GalakasMidCity_UPPERMODULE_W04D12_HalfTimberOverhang_CSG; GalakasMidCity_UPPERMODULE_W04D12_PlasterUpper_CSG; GalakasMidCity_ROOF_W04D12_SteepGable_CSG
